Total Length,Execute Time
1,2.9375998973846436
2,2.787328004837036
3,2.7975358963012695
4,2.714816093444824
5,2.800640106201172
6,2.7823359966278076
7,2.8078079223632812
8,2.7545599937438965
9,2.8098559379577637
10,2.821120023727417
11,2.7586560249328613
12,2.7617599964141846
13,2.7483201026916504
14,2.777951955795288
15,2.73305606842041
16,2.792448043823242
17,2.786303997039795
18,2.780064105987549
19,2.8025920391082764
20,2.7832961082458496
21,2.7504639625549316
22,2.845792055130005
23,2.722815990447998
24,2.8161919116973877
25,2.7543039321899414
26,2.781183958053589
27,2.748415946960449
28,2.7258880138397217
29,2.766848087310791
30,2.7453439235687256
31,2.73305606842041
32,2.7852799892425537
33,2.8293120861053467
34,2.7544000148773193
35,2.7832319736480713
36,2.78220796585083
37,2.76582407951355
38,2.7801599502563477
39,2.8149759769439697
40,2.8078079223632812
41,2.8189759254455566
42,2.8282880783081055
43,2.815808057785034
44,2.770944118499756
45,2.7637760639190674
46,2.777087926864624
47,2.7852799892425537
48,2.7586560249328613
49,2.764863967895508
50,2.7351040840148926
51,2.750335931777954
52,2.7801599502563477
53,2.720896005630493
54,2.7443199157714844
55,2.7607359886169434
56,2.7310080528259277
57,2.807647943496704
58,2.7832000255584717
59,2.7535359859466553
60,2.752511978149414
61,2.80678391456604
62,2.754431962966919
63,2.7678720951080322
64,2.825216054916382
65,2.7820799350738525
66,2.7238080501556396
67,2.770944118499756
68,2.771967887878418
69,2.787328004837036
70,2.7648000717163086
71,2.8249919414520264
72,2.8272640705108643
73,2.8326079845428467
74,2.8447680473327637
75,2.885632038116455
76,2.831360101699829
77,2.795488119125366
78,2.8538880348205566
79,2.8118720054626465
80,2.812000036239624
81,2.8427839279174805
82,2.808896064758301
83,2.789407968521118
84,2.8129279613494873
85,2.8107199668884277
86,2.7914559841156006
87,2.830336093902588
88,2.7996160984039307
89,2.7728641033172607
90,2.8640639781951904
91,2.8108479976654053
92,2.8139519691467285
93,2.7904000282287598
94,2.7905280590057373
95,2.815999984741211
96,2.795520067214966
97,2.7801599502563477
98,2.760767936706543
99,2.754688024520874
100,2.748415946960449
101,2.8487679958343506
102,2.786303997039795
103,2.7680320739746094
104,2.747391939163208
105,2.766655921936035
106,2.750368118286133
107,2.767807960510254
108,2.7524800300598145
109,2.7904000282287598
110,2.7607040405273438
111,2.7207679748535156
112,2.743295907974243
113,2.746367931365967
114,2.751487970352173
115,2.762752056121826
116,2.7710399627685547
117,2.736128091812134
118,2.716928005218506
119,2.7453439235687256
120,2.7554879188537598
121,2.7248640060424805
122,2.734879970550537
123,2.732095956802368
124,2.7493441104888916
125,2.7197439670562744
126,2.7738559246063232
127,2.721791982650757
128,2.731839895248413
129,2.75763201713562
130,2.752511978149414
131,2.73305606842041
132,2.79750394821167
133,2.7873599529266357
134,2.789247989654541
135,2.810944080352783
136,2.8047358989715576
137,2.7596800327301025
138,2.7443199157714844
139,2.7699201107025146
140,2.7507200241088867
141,2.718719959259033
142,2.7749760150909424
143,2.7259199619293213
144,2.702336072921753
145,2.7996160984039307
146,2.7801599502563477
147,2.761728048324585
148,2.836479902267456
149,2.7649919986724854
150,2.765887975692749
151,2.7504639625549316
152,2.722656011581421
153,2.7248640060424805
154,2.8180480003356934
155,2.756864070892334
156,2.736128091812134
157,2.702336072921753
158,2.7576000690460205
159,2.7975680828094482
160,2.7411839962005615
161,2.7586560249328613
162,2.780384063720703
163,2.792448043823242
164,2.7338240146636963
165,2.743295907974243
166,2.7884480953216553
167,2.7740159034729004
168,2.7440640926361084
169,2.7565760612487793
170,2.793440103530884
171,2.78220796585083
172,2.895872116088867
173,2.7678720951080322
174,2.7842559814453125
175,2.762847900390625
176,2.7842559814453125
177,2.8068161010742188
178,2.76582407951355
179,2.75763201713562
180,2.766655921936035
181,2.786303997039795
182,2.7893760204315186
183,2.756767988204956
184,2.792639970779419
185,2.7750399112701416
186,2.772991895675659
187,2.736128091812134
188,2.8045120239257812
189,2.766848087310791
190,2.734976053237915
191,2.8334081172943115
192,2.7842559814453125
193,2.8436479568481445
194,2.7761919498443604
195,2.7596800327301025
196,2.8293120861053467
197,2.7759358882904053
198,2.7443199157714844
199,2.7563838958740234
200,2.8177919387817383
201,2.762752056121826
202,2.76198410987854
203,2.7781760692596436
204,2.7586560249328613
205,2.7883520126342773
206,2.7607998847961426
207,2.784224033355713
208,2.780224084854126
209,2.7403199672698975
210,2.771967887878418
211,2.78220796585083
212,2.7637760639190674
213,2.7596800327301025
