Total Length,Execute Time
1,85.51219177246094
2,89.30704116821289
3,89.19548797607422
4,89.37164688110352
5,89.80684661865234
6,89.54159927368164
7,89.9059829711914
8,90.32697296142578
9,90.02086639404297
10,90.07820510864258
11,90.21644973754883
12,90.23180770874023
13,90.29529571533203
14,90.41715240478516
15,90.57075119018555
16,90.57372665405273
17,108.87472152709961
18,108.89308547973633
19,108.79897689819336
20,108.89523315429688
21,108.99552154541016
22,109.0313606262207
23,108.95155334472656
24,109.0497932434082
25,109.14201736450195
26,109.14099502563477
27,109.47673797607422
28,109.23702621459961
29,109.69785690307617
30,109.49024200439453
31,109.33350372314453
32,109.41645050048828
33,102.19206619262695
34,102.39276504516602
35,102.41433334350586
36,102.3457260131836
37,102.41843032836914
38,102.4010238647461
39,102.4552001953125
40,102.7481575012207
41,103.08259201049805
42,102.7430419921875
43,102.27917098999023
44,102.50751876831055
45,102.41116714477539
46,102.42642974853516
47,103.3779182434082
48,102.90889739990234
49,102.90156936645508
50,103.42707061767578
51,102.9939193725586
52,103.04307174682617
53,103.17305374145508
54,103.10963439941406
55,103.21510314941406
56,103.30624008178711
57,103.7025260925293
58,103.28166198730469
59,103.5827522277832
60,103.88665771484375
61,103.80595016479492
62,103.51001739501953
63,103.98822402954102
64,103.90630340576172
65,114.98482894897461
66,115.23072052001953
67,115.42931365966797
68,115.36470413208008
69,115.64860916137695
70,115.36588668823242
71,115.63107299804688
72,115.54713439941406
73,115.76626968383789
74,115.49584197998047
75,115.33308792114258
76,115.94342422485352
77,115.51209259033203
78,115.53462219238281
79,115.76496124267578
80,115.57046127319336
81,115.72326278686523
82,115.71395111083984
83,115.81952285766602
84,115.81014251708984
85,115.99155044555664
86,116.33235168457031
87,115.94956970214844
88,116.15033340454102
89,116.07244873046875
90,116.06527709960938
91,116.6069450378418
92,116.11340713500977
93,117.10755157470703
94,117.06880187988281
95,117.58082962036133
96,117.28793716430664
97,117.43641662597656
98,117.25823974609375
99,117.31763076782227
100,117.37887954711914
